195,3,3999000
149,3,3299000
223,3,3690000
132,2,2320000
279,4,5399000
184,4,2999000
143,3,3149000
133,3,1989990
128,3,2120000
139,3,2425000
180,4,2399990
186,3,3470000
176,3,3299990
416,5,6999000
118,3,2599000
214,4,4499000
123,2,2999000
115,3,1999000
242,4,4999980
282,4,5990000
164,3,2529000
175,2,2550000
149,3,2429000
182,4,2599000
361,3,5739000
102,3,2499000
135,3,4645000
235,3,4690000
204,3,4750000
245,3,2999000
171,2,3499000
93,1,1699000
190,4,3149000
291,3,5799000
168,4,2859000
134,3,2499000
115,3,2299000
198,4,3450000
392,4,5490000
201,4,2870000
155,2,3685000
208,3,3299000
238,4,3140000
111,3,2990000
79,2,1799000
172,4,2999000
112,3,2395000
